Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Qayāmata,,[upanyāsa],,,1927-1992 Rāhī Māsūma Razā,"Rāhī Māsūma Razā, 1927-1992",,,,,,Rājakamala Prakāśana,,,2013,,,,,,,,,,,,,,,,111,,,,,295 ₹,,,,,,,9788126724925,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 18:03:58.288285017,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8126724927.01Z.jpg,
Raṅgabhūmi,,,,,1881-1936 Premacanda,"Premacanda, 1881-1936",,,,,,,,,,,,,,,,,,,,,,,,,496,,,,,795 ₹,,,,,,,9789350000830,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:52:16.727725982,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/F8B8E3D6-888E-4958-96E8-0539AF16CEB7,
Śahazāda Dārāśikoha,,dahaśata kā daṃśa,,,Śatrughna Prasāda,"Prasāda, Śatrughna",,,,,,Vāṇī Prakāśana,,,2015,,,,,"Based on the life of Dārā Shikūh, Prince, son of Shahjahan, Emperor of India, 1615-1659.",,,,,,,,,,,291,,,,,495 ₹,Hindi,,,,,,9789350726334,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:28:25.297546982,,,,,,,_e_hvgEACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/9350726335.01Z.jpg,
Sāhitya aura samāja,,,,,Vijayadānna Dethā,"Dethā, Vijayadānna",,,,,,Vāṇī Prakāśana,,,2014,,,,,,,,,,,,,,,,148,,,,,395 ₹,,,,,,,9789350722411,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:31:01.921769976,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350722410.01Z.jpg,
Saṅkshiptanāṭyaśāstram,,,,,Bharata Muni,"Muni, Bharata",,,,,,Vani Prakashan,,,2009,,,,,"Abridged version of Nāṭyaśāstra, a treatise on ancient Indian dramaturgy, histrionics, and dance.",,,,,,,,,,,291,,,,,450 ₹,Hindi,,,,,,9788181439116,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:33:26.272485017,,,,,,,NzW2RQNwh1kC,Hindi,0,0,,,
Shreshtha Vyangya Kathayen,,,,,Kanhaiya Lal Nandan,"Nandan, Kanhaiya Lal",,,,,,Rajpal & Sons,,,2013,,,,,Selected humorous and satirical stories by various Hindi authors.,,,,,,,,,,,216,,,,,260 ₹,Hindi,,,,,,9788170282242,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:26:49.308882951,,,,,,,bnSq5gojbUIC,Hindi,0,0,,,
Tāroṃ tale an̐dherā,,,,,1926-2016 Mahāśvetā Debī,"Mahāśvetā Debī, 1926-2016",,,,,,,,,,,,,,,,,,,,,,,,,136,,,,,175 ₹,,,,,,,9789386799678,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:53:51.333206057,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/7CD75F0E-019A-4295-BCBC-5A8A0FE3983C,
Tibbata meṃ Bauddha dharma,,,,,Rāhula Sāṅkṛtyāyana,"Sāṅkṛtyāyana, Rāhula",,,,,,Kitāba Mahala,,,2014,,,,,,,,,,,,,,,,71,,,,,45 ₹,,,,,,,9788122503258,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:35:40.649219036,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/9F99DA97-60BA-442C-A6DC-BE362E093D64,
Umarāva Jāna Adā = Umrao Jaan Ada,,Novel,,,Mirza Mohammad Hadi Ruswa,"Ruswa, Mirza Mohammad Hadi",,,,,,,,,,,,,,,,,,,,,,,,,218,,,,,275 ₹,,,,,,,9789386534316,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 18:02:55.597339987,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9386534312.01Z.jpg,
असग़र वजाहत के आठ नाटक,,,,,Asagara Vajāhata,"Vajāhata, Asagara",,,,,,Kitābaghara Prakāśana,,,2016,,,,,Eight selected full-length plays by a Hindi author.,,,,,,,,,,,320,,,,,450 ₹,Hindi,,,,2016316795,,9789382114314,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:54:45.419682025,,,,,,,vs63jwEACAAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/BD4759CE-82B5-4FB8-99B0-A2C209C99E51,
